"filename", "language", "vue", "HTML", "YAML", "Rust", "TOML", "comment", "blank", "total"
"/home/jcfun/learning/Project/e-tech-assist/web-client/admin/src/views/system/user.vue", "vue", 612, 0, 0, 0, 0, 0, 6, 618
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/index.html", "HTML", 0, 24, 0, 0, 0, 0, 2, 26
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/pnpm-lock.yaml", "YAML", 0, 0, 6822, 0, 0, 0, 906, 7728
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/App.vue", "vue", 18, 0, 0, 0, 0, 0, 1, 19
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/components/mine-func/mine-func.vue", "vue", 37, 0, 0, 0, 0, 0, 4, 41
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/components/mine-login/mine-login.vue", "vue", 113, 0, 0, 0, 0, 0, 8, 121
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/account/account.vue", "vue", 84, 0, 0, 0, 0, 0, 4, 88
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/auth/auth.vue", "vue", 163, 0, 0, 0, 0, 0, 18, 181
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/index/index.vue", "vue", 5, 0, 0, 0, 0, 0, 3, 8
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/mine/mine.vue", "vue", 9, 0, 0, 0, 0, 0, 3, 12
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/more/more.vue", "vue", 91, 0, 0, 0, 0, 0, 5, 96
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/msg/msg.vue", "vue", 75, 0, 0, 0, 0, 0, 3, 78
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/qrcode/qrcode.vue", "vue", 177, 0, 0, 0, 0, 0, 3, 180
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/quick-msg/detail.vue", "vue", 152, 0, 0, 0, 0, 0, 3, 155
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/quick-msg/list.vue", "vue", 127, 0, 0, 0, 0, 0, 4, 131
"/home/jcfun/learning/Project/e-tech-assist/web-client/mini-program/src/pages/quick-msg/send.vue", "vue", 174, 0, 0, 0, 0, 0, 5, 179
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/index.html", "HTML", 0, 13, 0, 0, 0, 0, 3, 16
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/pnpm-lock.yaml", "YAML", 0, 0, 3574, 0, 0, 0, 513, 4087
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/App.vue", "vue", 3, 0, 0, 0, 0, 0, 1, 4
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/components/Captcha.vue", "vue", 59, 0, 0, 0, 0, 0, 3, 62
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/components/Content.vue", "vue", 23, 0, 0, 0, 0, 0, 2, 25
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/components/Footer.vue", "vue", 106, 0, 0, 0, 0, 0, 2, 108
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/components/Header.vue", "vue", 156, 0, 0, 0, 0, 0, 3, 159
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/components/Layout.vue", "vue", 11, 0, 0, 0, 0, 0, 3, 14
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/components/ScrollToTopButton.vue", "vue", 47, 0, 0, 0, 0, 0, 5, 52
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/article/detail.vue", "vue", 179, 0, 0, 0, 0, 0, 4, 183
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/article/index.vue", "vue", 396, 0, 0, 0, 0, 0, 4, 400
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/create-center/article/edit.vue", "vue", 245, 0, 0, 0, 0, 0, 4, 249
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/create-center/article/overview.vue", "vue", 177, 0, 0, 0, 0, 0, 3, 180
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/create-center/article/publish.vue", "vue", 240, 0, 0, 0, 0, 0, 4, 244
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/create-center/components/SideBar.vue", "vue", 104, 0, 0, 0, 0, 0, 3, 107
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/create-center/index.vue", "vue", 19, 0, 0, 0, 0, 0, 3, 22
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/create-center/overview/index.vue", "vue", 164, 0, 0, 0, 0, 0, 3, 167
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/login/index.vue", "vue", 153, 0, 0, 0, 0, 0, 4, 157
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/register/index.vue", "vue", 135, 0, 0, 0, 0, 0, 3, 138
"/home/jcfun/learning/Project/e-tech-assist/web-client/web/src/views/reset-pwd/index.vue", "vue", 135, 0, 0, 0, 0, 0, 3, 138
"/home/jcfun/learning/Project/e-tech-assist/web-client/webassembly/.appveyor.yml", "YAML", 0, 0, 9, 0, 0, 0, 3, 12
"/home/jcfun/learning/Project/e-tech-assist/web-client/webassembly/.travis.yml", "YAML", 0, 0, 57, 0, 0, 7, 6, 70
"/home/jcfun/learning/Project/e-tech-assist/web-client/webassembly/Cargo.toml", "TOML", 0, 0, 0, 0, 34, 7, 8, 49
"/home/jcfun/learning/Project/e-tech-assist/web-client/webassembly/src/lib.rs", "Rust", 0, 0, 0, 23, 0, 2, 6, 31
"/home/jcfun/learning/Project/e-tech-assist/web-client/webassembly/src/utils.rs", "Rust", 0, 0, 0, 4, 0, 6, 1, 11
"/home/jcfun/learning/Project/e-tech-assist/web-client/webassembly/tests/web.rs", "Rust", 0, 0, 0, 8, 0, 1, 5, 14
"/home/jcfun/learning/Project/e-tech-assist/web-server/Cargo.toml", "TOML", 0, 0, 0, 0, -100, 0, -26, -126
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/common/banner.rs", "Rust", 0, 0, 0, -12, 0, 0, -2, -14
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/common/errors.rs", "Rust", 0, 0, 0, -189, 0, -9, -16, -214
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/common/mod.rs", "Rust", 0, 0, 0, -3, 0, 0, -1, -4
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/common/res.rs", "Rust", 0, 0, 0, -170, 0, -21, -22, -213
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/config/cfg.rs", "Rust", 0, 0, 0, -88, 0, -29, -12, -129
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/config/ctx.rs", "Rust", 0, 0, 0, -21, 0, 0, -5, -26
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/config/init.rs", "Rust", 0, 0, 0, -14, 0, -2, -6, -22
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/config/mod.rs", "Rust", 0, 0, 0, -3, 0, 0, -1, -4
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/dbaccess/article.rs", "Rust", 0, 0, 0, -246, 0, 0, -12, -258
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/dbaccess/login.rs", "Rust", 0, 0, 0, -211, 0, 0, -13, -224
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/dbaccess/mod.rs", "Rust", 0, 0, 0, -18, 0, 0, -4, -22
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/dbaccess/perm.rs", "Rust", 0, 0, 0, -145, 0, 0, -7, -152
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/dbaccess/quick_msg.rs", "Rust", 0, 0, 0, -261, 0, 0, -9, -270
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/dbaccess/role.rs", "Rust", 0, 0, 0, -226, 0, 0, -12, -238
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/dbaccess/user.rs", "Rust", 0, 0, 0, -294, 0, 0, -17, -311
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/handlers/article.rs", "Rust", 0, 0, 0, -267, 0, -17, -11, -295
"/home/jcfun/learning/Project/e-tech-assist/web-server/src/handlers/login.rs", "Rust", 0, 0, 0, -512, 0, 0, -17, -529
